SearchName,PreferredFoot
Anthony Modeste,Right
Andy Carroll,Left
Maximiliano Pereira,Right
Angelo Ogbonna,Left
Nicolai Muller~Nicolai Müller,Right
Claudio Yacob,Right
Gregory van der Wiel,Right
Piotr Grzelczak,Left
Lucas Pratto,Right
Franz Beckenbauer,Right
Joe Allen,Right
Alexandr Anyukov,Right
Siem de Jong,Right
Carlos Zambrano,Right
Clement Grenier~Clément Grenier,Right
Kevin Großkreutz,Right
Kyle Walker,Right
Olcay Sahan~Olcay Sahan,Right
Rafael,Right
Balenziaga,Left
Sergio Canales,Left
Leonard Kweuke~Léonard Kweuke,Right
Jeroen Zoet,Right
Maicon,Right
Shkodran Mustafi,Right
Sebastian Jung,Right
Emanuele Giaccherini,Right
Roberto Pereyra,Right
Mattia Destro,Right
Shinji Okazaki,Right
Lothar Matthaus~Lothar Matthäus,Right
Kevin Kampl,Right
Yaroslav Rakitskyi,Left
Joel Matip,Right
Papy Mison Djilobodji,Left
Juan Manuel Iturbe,Left
Pavel Nedved~Pavel Nedved,Right
Wissam Ben Yedder,Right
Nolito,Right
Vitolo,Left
Roberto Carlos,Left
Sebastian Rode,Right
Jan Oblak,Right
Nacer Chadli,Right
Christopher Samba,Right
Morata,Right
Andriy Shevchenko,Right
Lassane Bangoura,Right
Christoph Kramer,Right
Anderson Talisca,Left
Matija Nastasic~Matija Nastasic,Left
Eduardo Vargas,Right
Matthias Ginter,Right
Marquinhos,Right
Yaya Toure~Yaya Touré,Right
Alexandru Maxim,Right
Nikola Maksimovic~Nikola Maksimovic,Right
Pontus Wernbloom,Right
Rafa,Right
Bradley Wright-Phillips,Right
Modibo Maiga~Modibo Maïga,Left
Younousse Sankhare~Younousse Sankharé,Left
Victor Vazquez,Right
Marko Vejinovic~Marko Vejinovic,Right
Nicolas Lombaerts,Left
Kenneth Vermeer,Right
Danny Ings,Right
Micah Richards,Right
Bernat,Left
Wayne Rooney,Right
Edinson Cavani,Right
Nordin Amrabat,Right
Lewis Holtby,Left
Bryan Linssen,Right
Emil Forsberg,Right
Matt Ritchie,Left
Jose Canas~José Cañas,Right
Jamie Vardy,Right
Frank Acheampong,Left
Leandro Benegas,Right
Lasse Vibe,Right
Manu Herrera,Left
Mark Schwarzer,Right
Joshua King,Right
Scott Parker,Right
Christian Kabasele,Right
Dirk Kuyt,Right
Walter Samuel,Left
Roque Santa Cruz,Right
Rafael Marquez~Rafael Márquez,Right
Andreas Ivanschitz,Left
Jonas Olsson,Left
Brede Hangeland,Right
Raphael Schafer~Raphael Schäfer,Left
Guilherme,Right
Julian Speroni~Julián Speroni,Right
John Heitinga,Right
Florent Balmont,Right
Fernando Navarro,Left
Rob Green,Right
Sylvester Igboun,Right
Artur Boruc,Right
Tom Starke,Right
Jonatan Soriano,Right
Alexander Meier,Right
Nelson Valdez,Right
